Qualitative chat request with single message: {
  userId: '1',
  messagePreview: 'am i taking enough zinc?...',
  timestamp: '2025-03-10T07:49:33.178Z'
}
Qualitative chat request: { userId: 1, messageCount: 1, timestamp: '2025-03-10T07:49:33.179Z' }
Daily chat count: { userId: 1, chatCount: '0', isPro: false }
Using qualitative chat model: {
  model: 'gpt-4o-mini',
  modelName: 'gpt-4o-mini',
  userId: 1,
  timestamp: '2025-03-10T07:49:33.228Z'
}
info: Starting chatWithAI: {"estimatedTokenCount":6,"lastMessage":"am i taking enough zinc?...","messageCount":1,"model":"gpt-4o-mini","timestamp":"2025-03-10T07:49:33.228Z"}
info: Stream created, starting to process chunks {"timestamp":"2025-03-10T07:49:33.747Z"}
info: Processing chunk: {"chunkLength":6,"preview":"That's","timestamp":"2025-03-10T07:49:33.775Z"}
info: Processing chunk: {"chunkLength":2,"preview":" a","timestamp":"2025-03-10T07:49:33.775Z"}
info: Processing chunk: {"chunkLength":6,"preview":" great","timestamp":"2025-03-10T07:49:33.795Z"}
info: Processing chunk: {"chunkLength":9,"preview":" question","timestamp":"2025-03-10T07:49:33.795Z"}
info: Processing chunk: {"chunkLength":1,"preview":"!","timestamp":"2025-03-10T07:49:33.812Z"}
info: Processing chunk: {"chunkLength":3,"preview":" To","timestamp":"2025-03-10T07:49:33.812Z"}
info: Processing chunk: {"chunkLength":5,"preview":" help","timestamp":"2025-03-10T07:49:33.839Z"}
info: Processing chunk: {"chunkLength":10,"preview":" determine","timestamp":"2025-03-10T07:49:33.839Z"}
info: Processing chunk: {"chunkLength":3,"preview":" if","timestamp":"2025-03-10T07:49:33.852Z"}
info: Processing chunk: {"chunkLength":7,"preview":" you're","timestamp":"2025-03-10T07:49:33.852Z"}
info: Processing chunk: {"chunkLength":7,"preview":" taking","timestamp":"2025-03-10T07:49:33.873Z"}
info: Processing chunk: {"chunkLength":7,"preview":" enough","timestamp":"2025-03-10T07:49:33.873Z"}
info: Processing chunk: {"chunkLength":5,"preview":" zinc","timestamp":"2025-03-10T07:49:33.904Z"}
info: Processing chunk: {"chunkLength":1,"preview":",","timestamp":"2025-03-10T07:49:33.904Z"}
info: Processing chunk: {"chunkLength":3,"preview":" it","timestamp":"2025-03-10T07:49:33.940Z"}
info: Processing chunk: {"chunkLength":6,"preview":" would","timestamp":"2025-03-10T07:49:33.941Z"}
info: Processing chunk: {"chunkLength":3,"preview":" be","timestamp":"2025-03-10T07:49:33.962Z"}
info: Processing chunk: {"chunkLength":8,"preview":" helpful","timestamp":"2025-03-10T07:49:33.963Z"}
info: Processing chunk: {"chunkLength":3,"preview":" to","timestamp":"2025-03-10T07:49:33.992Z"}
info: Processing chunk: {"chunkLength":5,"preview":" know","timestamp":"2025-03-10T07:49:33.992Z"}
info: Processing chunk: {"chunkLength":2,"preview":" a","timestamp":"2025-03-10T07:49:34.008Z"}
info: Processing chunk: {"chunkLength":4,"preview":" few","timestamp":"2025-03-10T07:49:34.008Z"}
info: Processing chunk: {"chunkLength":7,"preview":" things","timestamp":"2025-03-10T07:49:34.050Z"}
info: Processing chunk: {"chunkLength":1,"preview":".","timestamp":"2025-03-10T07:49:34.051Z"}
info: Processing chunk: {"chunkLength":3,"preview":" \n\n","timestamp":"2025-03-10T07:49:34.091Z"}
info: Processing chunk: {"chunkLength":1,"preview":"1","timestamp":"2025-03-10T07:49:34.091Z"}
info: Processing chunk: {"chunkLength":1,"preview":".","timestamp":"2025-03-10T07:49:34.110Z"}
info: Processing chunk: {"chunkLength":5,"preview":" What","timestamp":"2025-03-10T07:49:34.110Z"}
info: Processing chunk: {"chunkLength":3,"preview":" is","timestamp":"2025-03-10T07:49:34.138Z"}
info: Processing chunk: {"chunkLength":4,"preview":" the","timestamp":"2025-03-10T07:49:34.138Z"}
info: Processing chunk: {"chunkLength":7,"preview":" dosage","timestamp":"2025-03-10T07:49:34.154Z"}
info: Processing chunk: {"chunkLength":3,"preview":" of","timestamp":"2025-03-10T07:49:34.154Z"}
info: Processing chunk: {"chunkLength":5,"preview":" zinc","timestamp":"2025-03-10T07:49:34.175Z"}
info: Processing chunk: {"chunkLength":4,"preview":" you","timestamp":"2025-03-10T07:49:34.176Z"}
info: Processing chunk: {"chunkLength":4,"preview":" are","timestamp":"2025-03-10T07:49:34.194Z"}
info: Processing chunk: {"chunkLength":10,"preview":" currently","timestamp":"2025-03-10T07:49:34.194Z"}
info: Processing chunk: {"chunkLength":7,"preview":" taking","timestamp":"2025-03-10T07:49:34.212Z"}
info: Processing chunk: {"chunkLength":2,"preview":"?\n","timestamp":"2025-03-10T07:49:34.212Z"}
info: Processing chunk: {"chunkLength":1,"preview":"2","timestamp":"2025-03-10T07:49:34.233Z"}
info: Processing chunk: {"chunkLength":1,"preview":".","timestamp":"2025-03-10T07:49:34.233Z"}
info: Processing chunk: {"chunkLength":4,"preview":" Are","timestamp":"2025-03-10T07:49:34.270Z"}
info: Processing chunk: {"chunkLength":6,"preview":" there","timestamp":"2025-03-10T07:49:34.270Z"}
info: Processing chunk: {"chunkLength":9,"preview":" specific","timestamp":"2025-03-10T07:49:34.334Z"}
info: Processing chunk: {"chunkLength":8,"preview":" reasons","timestamp":"2025-03-10T07:49:34.334Z"}
info: Processing chunk: {"chunkLength":4,"preview":" you","timestamp":"2025-03-10T07:49:34.350Z"}
info: Processing chunk: {"chunkLength":8,"preview":" started","timestamp":"2025-03-10T07:49:34.350Z"}
info: Processing chunk: {"chunkLength":7,"preview":" taking","timestamp":"2025-03-10T07:49:34.376Z"}
info: Processing chunk: {"chunkLength":5,"preview":" zinc","timestamp":"2025-03-10T07:49:34.376Z"}
info: Processing chunk: {"chunkLength":2,"preview":" (","timestamp":"2025-03-10T07:49:34.418Z"}
info: Processing chunk: {"chunkLength":1,"preview":"e","timestamp":"2025-03-10T07:49:34.418Z"}
info: Processing chunk: {"chunkLength":2,"preview":".g","timestamp":"2025-03-10T07:49:34.445Z"}
info: Processing chunk: {"chunkLength":2,"preview":".,","timestamp":"2025-03-10T07:49:34.445Z"}
info: Processing chunk: {"chunkLength":7,"preview":" immune","timestamp":"2025-03-10T07:49:34.464Z"}
info: Processing chunk: {"chunkLength":8,"preview":" support","timestamp":"2025-03-10T07:49:34.465Z"}
info: Processing chunk: {"chunkLength":1,"preview":",","timestamp":"2025-03-10T07:49:34.495Z"}
info: Processing chunk: {"chunkLength":5,"preview":" skin","timestamp":"2025-03-10T07:49:34.496Z"}
info: Processing chunk: {"chunkLength":7,"preview":" health","timestamp":"2025-03-10T07:49:34.536Z"}
info: Processing chunk: {"chunkLength":1,"preview":",","timestamp":"2025-03-10T07:49:34.536Z"}
info: Processing chunk: {"chunkLength":4,"preview":" etc","timestamp":"2025-03-10T07:49:34.584Z"}
info: Processing chunk: {"chunkLength":2,"preview":".)","timestamp":"2025-03-10T07:49:34.585Z"}
info: Processing chunk: {"chunkLength":2,"preview":"?\n","timestamp":"2025-03-10T07:49:34.621Z"}
info: Processing chunk: {"chunkLength":1,"preview":"3","timestamp":"2025-03-10T07:49:34.622Z"}
info: Processing chunk: {"chunkLength":1,"preview":".","timestamp":"2025-03-10T07:49:34.643Z"}
info: Processing chunk: {"chunkLength":5,"preview":" Have","timestamp":"2025-03-10T07:49:34.643Z"}
info: Processing chunk: {"chunkLength":4,"preview":" you","timestamp":"2025-03-10T07:49:34.697Z"}
info: Processing chunk: {"chunkLength":8,"preview":" noticed","timestamp":"2025-03-10T07:49:34.697Z"}
info: Processing chunk: {"chunkLength":4,"preview":" any","timestamp":"2025-03-10T07:49:34.716Z"}
info: Processing chunk: {"chunkLength":8,"preview":" changes","timestamp":"2025-03-10T07:49:34.716Z"}
info: Processing chunk: {"chunkLength":3,"preview":" in","timestamp":"2025-03-10T07:49:34.725Z"}
info: Processing chunk: {"chunkLength":5,"preview":" your","timestamp":"2025-03-10T07:49:34.725Z"}
info: Processing chunk: {"chunkLength":5,"preview":" mood","timestamp":"2025-03-10T07:49:34.763Z"}
info: Processing chunk: {"chunkLength":1,"preview":",","timestamp":"2025-03-10T07:49:34.763Z"}
